Math_score,reading_score,Writing_Score,placement_score,placement_offer-count,Club join year
65,84,30,45,67,2017
35,65,40,56,57,2018
70,67,50,25,89,2019
73,85,54,56,35,2016
60,73,46,56,89,2017
58,83,47,57,67,2018
65,86,84,68,57,2019
35,84,30,34,89,2016
70,65,40,78,35,2017
73,67,50,57,89,2018
60,85,54,90,67,2019
58,73,46,45,57,2016
65,83,47,56,89,2017
35,86,84,25,35,2018
70,84,30,56,89,2019
73,65,40,56,67,2016
60,67,50,57,57,2017
58,85,54,68,89,2018
65,73,46,34,35,2019
35,83,47,78,89,2016
70,86,84,57,67,2017
70,84,30,90,57,2018
73,65,40,45,89,2019
60,67,50,56,35,2016
58,85,54,25,89,2017
65,73,46,56,67,2018
35,83,47,56,57,2019
70,86,84,57,89,2016
73,84,30,68,35,2017
